Category,Spec Item,Selector/Class,Property,Desktop/Base Value,1280,1440,1600,1920,2560,Tablet/Mobile Value,Source/Notes
Section heading,Title font,.section-heading h2,font-family/font-weight/color,"Georgia, Palatino Linotype, serif / 700 / rgb(31,27,22)",,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Section heading,Title size,.section-heading h2,font-size/line-height,"clamp(36px, 2.1vw, 42px); line-height 1.05",36px / 37.8px,36px / 37.8px,36px / 37.8px,40.32px / 42.336px,42px / 44.1px,1024: 32.38/33.35px; 768: 28.129/28.973px; 430: 22.696/23.377px; 390: 21.976/22.635px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Section heading,Gap to honors/stat pills,.section-heading + .achievement-highlights,visual gap,24px visual; heading margin-bottom 24px and grid margin-top 22px collapse,24px,24px,24px,24px,24px,16px heading margin; grid margin-top 0,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19707; /Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Honors/stat pill grid,Grid class,.achievement-highlights,class,achievement-highlights,,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/index.html:178
Honors/stat pill grid,Columns,.achievement-highlights,grid-template-columns,"repeat(3, minmax(0, 1fr)); renders 3 x 2",3,3,3,3,3,1024: 1 column; 900/768/720/430/390: 2 columns,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill grid,Gaps,.achievement-highlights,column-gap/row-gap,12px / 12px,12px,12px,12px,12px,12px,10px at 900 and below,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill grid,Pill sizing,.achievement-chip,width/height/min-height,Width fills grid column; min-height 78px,364.66 x 78px,418 x 78px,469.73 x 78px,520.61 x 78px,699.33 x 78px,1024: 910 x 78px; 768: 331.92 x 50px; 430: 181 x 50px; 390: 161 x 50px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill grid,Pill padding/radius,.achievement-chip,padding/border-radius,14px 22px / 999px,,,,,,900-390: 3px 8px / 999px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill grid,Pill visual,.achievement-chip,background/border/shadow/text-align,"Gradient cream background; 1px solid rgba(184,135,47,.34); 0 14px 34px rgba(52,36,24,.1); center",,,,,,Same visual; tighter sizing on mobile,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill text,Main label,.achievement-chip strong,font-family/size/weight/color/line-height,"Georgia, Palatino Linotype, serif / 17.28px / 700 / rgb(31,27,22) / 19.872px",,,,,,900/768/720: 14.4px; 430: 13.975px; 390: 13.44px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill text,Subtext,.achievement-chip span,font-size/weight/color/line-height,"13.76px / 400 / rgb(106,95,83) / 17.2px",,,,,,"900/768/720: 12.48px; <=430: 11.84px; color rgba(72,63,54,.68)",/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Honors/stat pill text,Text gap,.achievement-chip,gap,5px,5px,5px,5px,5px,5px,900/768/720: 1px; <=430: gap 0 and subtext margin-top 3px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
View Career Awards button,Button class/id,#playingCareerAwards,class/id,button button-secondary button-small / playingCareerAwards,,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/index.html:178
View Career Awards button,Desktop button,#playingCareerAwards,width/height/padding/radius/font/color/background/border,"163.61px x 40px; min-height 40px; padding 0 14px; radius 999px; 14px 700; text rgb(31,27,22); bg rgba(255,255,255,.58); border 1px solid rgba(31,27,22,.12)",,,,,,1024: full width but secondary style; 900 and below full width primary gradient,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:310
View Career Awards button,Action wrapper,.playing-career-actions,display/gap/margin,flex; align-items center; gap 10px 12px; margin 0 0 20px,,,,,,900 and below display block; <=430 margin-bottom 14px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel/media wrapper,Wrapper,.playing-career-carousel,class/display/grid,"playing-career-carousel; grid; columns auto minmax(0,1fr) auto; gap 12px; align-items center",,,,,,<=720 grid-template-columns 1fr; <=430 overflow hidden,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel/media wrapper,Width/height,.playing-career-carousel,computed size,Fills section content width,1118 x 287.98px,1278 x 328px,1433.22 x 366.8px,1585.84 x 404.95px,2122 x 538.98px,720: 658 x 252px; 430: 372 x 279.5px; 390: 332 x 249.5px,Computed browser values
Carousel/media wrapper,Visual,.playing-career-carousel,padding/radius/background/border/shadow,"18px 14px 16px; radius 28px; gradient cream/gold; border 1px solid rgba(31,27,22,.12); shadow none",,,,,,"720: padding 12px; <=430: padding 0, radius 22px",/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel image cards,Generated card,#playingCareerTrack .achievement-card,markup/class,button.achievement-card generated by JS,,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/app.js:2322
Carousel image cards,Visible cards,#playingCareerTrack,visible cards,3,3,3,3,3,3,900/768: 3; 720: about 2 plus peek; <=430: 1,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel image cards,Track,.playing-career-track,display/gap/overflow/snap,flex; gap 16px; overflow-x auto; scroll-snap-type x mandatory; scrollbar-width thin,,,,,,<=430: padding 0; scrollbar-width none,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel image cards,Card sizing,.playing-career-track .achievement-card,flex-basis/aspect/radius,calc((100% - 32px) / 3); aspect-ratio 4/3; radius 24px,314.66 x 235.98px,368 x 276px,419.73 x 314.8px,470.61 x 352.95px,649.33 x 486.98px,720: 280 x 210px; <=430: 100% basis and radius 0,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel image cards,Image,.achievement-card img,width/height/object-fit/object-position,100% x 100%; object-fit cover; default center center; item inline positions such as first image 50% 42%,,,,,,Same; image fills card,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/app.js:2322
Carousel arrows,Arrow classes,.playing-career-arrow-prev/.playing-career-arrow-next,classes,playing-career-arrow playing-career-arrow-prev/next,,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/index.html:178
Carousel arrows,Desktop arrows,.playing-career-arrow,size/position/radius/background/border/font/color,"44 x 54px; static; radius 999px; bg rgba(255,250,243,.82); border 1px solid rgba(31,27,22,.14); font-size 32px; color rgb(31,27,22)",,,,,,"900 and below 34 x 40px, 24.8px, bg rgba(255,250,243,.72); <=720 absolute centered vertically",/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371
Carousel arrows,Left/right spacing,.playing-career-arrow-prev/next,left/right,Desktop: static grid columns with 12px gap,,,,,,900 sets left/right 5px but only applies once arrows become absolute at <=720,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:8775
Old/duplicate CSS,Unused old grid,.playing-career-grid,impact,Exists in CSS but not used by homepage Playing Career & Honors section,,,,,,No direct effect unless markup changes to use it,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1031
Old/duplicate CSS,Achievement card layering,.achievement-card,impact,Shared card style gives padding/border/radius/background/shadow; later reset clears padding; track rule clears border/background but shadow remains,,,,,,This is why carousel cards still compute a shadow,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1371; /Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:1470
Old/duplicate CSS,Heading cascade,.section-heading rules,impact,Earlier home desktop lock and later unified heading system both affect title/eyebrow/gaps,,,,,,Later unified system wins for desktop heading typography; earlier more-specific adjacent grid margin keeps grid margin-top 22px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19707; /Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Old/duplicate CSS,Carousel mobile cascade,.playing-career-carousel/.track/.arrow,impact,"Base rules, <=720 rules, <=900 rules, and <=430 final harmonizer all layer together",,,,,,At <=430 carousel padding becomes 0 and card basis 100%,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:6588
Old/duplicate CSS,Gallery/media rules,.gallery-grid/.gallery-card/.media-preview-carousel,impact,Present elsewhere but do not directly style this homepage carousel,,,,,,Homepage section uses .playing-career-* plus .achievement-card,Code inspection
